,city_from,city_to,weight
1521,Екатеринбург,Ирбит,1.0
1522,Пермь,Нытва,1.0
1523,Ангарск,Ангарск,1.0
1524,Ульяновск,Ульяновск,1.0
1525,Иркутск,Шелехов,1.0
1526,Ульяновск,Ульяновск,1.0
1527,Краснодар,Елизаветинская,1.0
1528,Ульяновск,Ульяновск,1.0
1529,Тюмень,Тюмень,1.0
1530,Ульяновск,Ульяновск,1.0
1531,Пятигорск,Баксан,1.08
1532,Ульяновск,Ульяновск,1.0
1533,Ульяновск,Ульяновск,1.0
1534,Ульяновск,Ульяновск,1.0
1535,Москва,"Аксай, Ростовская область",1.0
1536,Ханты-Мансийск,Ханты-Мансийск,1.0
1537,Ульяновск,Ульяновск,1.0
1538,Ульяновск,Ульяновск,1.0
1539,Ульяновск,Ульяновск,1.0
1540,Ульяновск,Ульяновск,1.0
1541,Омск,Омск,1.0
1542,Москва,Геленджик,1.0
1543,Москва,Геленджик,1.0
1544,Тюмень,Тюмень,1.0
1545,Калининград,Калининград,1.0
1546,Калининград,Калининград,1.0
1547,Калининград,Калининград,1.0
1548,Калининград,Калининград,1.0
1549,Калининград,Калининград,1.0
1550,Калининград,Калининград,1.0
1551,Калининград,Калининград,1.0
1552,Калининград,Калининград,1.0
1553,Саратов,Саратов,1.0
1554,Краснодар,Усть-Лабинск,1.0
1555,Калининград,Калининград,1.0
1556,Калининград,Калининград,1.0
1557,Москва,Вилючинск,1.0
1558,Воронеж,"Ямное, Рамонский р-н",1.0
1559,Воронеж,"Лиски, Лискинский р-н",1.0
1560,Калининград,Калининград,1.0
1561,Калининград,Калининград,1.0
1562,Калининград,Калининград,1.0
1563,Калининград,Калининград,1.0
1564,Калининград,Калининград,1.0
1565,Калининград,Калининград,1.0
1566,Калининград,Калининград,1.0
1567,Калининград,Калининград,1.0
1568,Калининград,Калининград,1.0
1569,Калининград,Калининград,1.0
1570,Ульяновск,Ульяновск,1.0
1571,Калининград,Калининград,1.0
1572,Калининград,Калининград,1.0
1573,Калининград,Калининград,1.0
1574,Калининград,Калининград,1.0
1575,Калининград,Калининград,1.0
1576,Калининград,Калининград,1.0
1577,Воронеж,"Ямное, Рамонский р-н",1.0
1578,Воронеж,"Острогожск, Острогожский р-н",1.0
1579,Калининград,Калининград,1.0
1580,Калининград,Калининград,1.0
1581,Воронеж,"Лиски, Лискинский р-н",1.0
1582,Калининград,Калининград,1.0
1583,Калининград,Калининград,1.0
1584,Калининград,Калининград,1.0
1585,Калининград,Калининград,1.0
1586,Калининград,Калининград,1.0
1587,Калининград,Калининград,1.0
1588,Калининград,Калининград,1.0
1589,Калининград,Калининград,1.0
1590,Барнаул,Горно-Алтайск,1.0
1591,Калининград,Калининград,1.0
1592,Барнаул,Заринск,1.0
1593,Калининград,Калининград,1.0
1594,Калининград,Калининград,1.0
1595,Калининград,Калининград,1.0
1596,Калининград,Калининград,3.0
1597,Калининград,Калининград,1.0
1598,Владивосток,Владивосток,1.0
1599,Москва,Лангепас,1.0
1600,Калининград,Калининград,2.0
1601,Воронеж,Новая Усмань,1.0
1602,Москва,Липецк,1.0
1603,Уфа,Уфа,1.0
1604,Калининград,Калининград,1.0
1605,Саратов,Саратов,1.0
1606,Уфа,Уфа,1.0
1607,Барнаул,Барнаул,1.0
1608,Калининград,Калининград,1.0
1609,Калининград,Калининград,1.0
1610,Нижний Новгород,Нижний Новгород,1.0
1611,Нижний Новгород,Нижний Новгород,1.0
1612,Ульяновск,Ульяновск,1.0
1613,Нижний Новгород,Нижний Новгород,1.0
1614,Калининград,Калининград,1.0
1615,Нижний Новгород,Нижний Новгород,1.0
1616,Нижний Новгород,Нижний Новгород,1.0
1617,Хабаровск,Хабаровск,1.0
1618,Омск,Омск,1.0
1619,Калининград,Калининград,1.0
1620,Уфа,Туймазы,1.0
1621,Калининград,Калининград,1.0
1622,Омск,Омск,1.0
1623,Ангарск,Ангарск,1.0
1624,Воронеж,Воронеж,1.0
1625,Ухта,Ухта,1.0
1626,Белгород,"Алексеевка, Алексеевский р-н",1.0
1627,Новосибирск,Саяногорск,1.0
1628,Белгород,"Шебекино, Шебекинский р-н",1.0
1629,Омск,Омск,1.0
1630,Белгород,"Майский, Белгородский р-н",1.0
1631,Казань,Казань,1.0
1632,Москва,Мончегорск,1.0
1633,Комсомольск-на-Амуре,Комсомольск-на-Амуре,1.0
1634,Комсомольск-на-Амуре,Комсомольск-на-Амуре,1.0
1635,Кемерово,Мариинск,1.0
1636,Нижний Новгород,Нижний Новгород,1.0
1637,Казань,Казань,1.0
1638,Москва,Астрахань,1.0
1639,Москва,Ярославль,1.0
1640,Хабаровск,Хабаровск,1.0
1641,Москва,Брянск,1.0
1642,Братск,Братск,1.0
1643,Калининград,Калининград,1.0
1644,Благовещенск,Белогорск,1.0
1645,Москва,Геленджик,1.0
1646,Саратов,Саратов,1.0
1647,Казань,Казань,1.0
1648,Москва,Владимир,1.0
1649,Москва,Курск,1.0
1650,Москва,Астрахань,1.0
1651,Екатеринбург,Екатеринбург,1.0
1652,Москва,Владимир,1.0
1653,Нижневартовск,Нижневартовск,1.0
1654,Москва,Сыктывкар,1.0
1655,Ростов-на-Дону,Каменск-Шахтинский,1.0
1656,Краснодар,Апшеронск,1.0
1657,Москва,Кунгур,1.0
1658,Екатеринбург,Екатеринбург,1.0
1659,Екатеринбург,Екатеринбург,1.0
1660,Магадан,Магадан,1.0
1661,Екатеринбург,Екатеринбург,1.0
1662,Ростов-на-Дону,Ростов-на-Дону,1.0
1663,Волгоград,Котово,1.0
1664,Ростов-на-Дону,Ростов-на-Дону,1.0
1665,Екатеринбург,Екатеринбург,1.0
1666,Ростов-на-Дону,Ростов-на-Дону,1.0
1667,Екатеринбург,Екатеринбург,1.0
1668,Москва,Муром,1.0
1669,Ростов-на-Дону,Сальск,1.0
1670,Ростов-на-Дону,Ростов-на-Дону,1.0
1671,Ижевск,Ижевск,1.0
1672,Казань,Казань,1.0
1673,Екатеринбург,Екатеринбург,1.0
1674,Ростов-на-Дону,Ростов-на-Дону,1.0
1675,Казань,Казань,1.0
1676,Казань,Казань,1.0
1677,Южно-Сахалинск,Южно-Сахалинск,1.0
1678,Казань,Казань,1.0
1679,Южно-Сахалинск,Южно-Сахалинск,1.0
1680,Екатеринбург,Монетный,1.0
1681,Новосибирск,Новосибирск,1.0
1682,Ростов-на-Дону,Ростов-на-Дону,1.0
1683,Новосибирск,Новосибирск,1.0
1684,Казань,Казань,1.0
1685,Комсомольск-на-Амуре,Комсомольск-на-Амуре,0.69
1686,Калининград,Калининград,1.0
1687,Екатеринбург,Новоуральск,1.0
1688,Новосибирск,Новосибирск,1.0
1689,Пермь,Нытва,1.0
1690,Екатеринбург,Новоуральск,1.0
1691,Пятигорск,Баксан,1.0
1692,Казань,"Васильево, Зеленодольский р-он",1.0
1693,Ростов-на-Дону,Ростов-на-Дону,1.0
1694,Калининград,Калининград,1.0
1695,Ростов-на-Дону,Ростов-на-Дону,1.0
1696,Пятигорск,Баксан,1.0
1697,Ижевск,Ижевск,0.46
1698,Ростов-на-Дону,Ростов-на-Дону,1.0
1699,Москва,Курск,1.0
1700,Ростов-на-Дону,Ростов-на-Дону,1.0
1701,Ростов-на-Дону,Ростов-на-Дону,1.0
1702,Барнаул,Славгород,1.0
1703,Ростов-на-Дону,Ростов-на-Дону,1.0
1704,Ростов-на-Дону,Ростов-на-Дону,2.0
1705,Барнаул,Заринск,2.0
1706,Ростов-на-Дону,Ростов-на-Дону,1.0
1707,Комсомольск-на-Амуре,Комсомольск-на-Амуре,1.0
1708,Калининград,Калининград,1.0
1709,Новосибирск,Прокопьевск,1.0
1710,Барнаул,Барнаул,1.0
1711,Салехард,Салехард,1.0
1712,Калининград,Калининград,1.0
1713,Ростов-на-Дону,Ростов-на-Дону,1.0
1714,Ростов-на-Дону,Зерноград,1.0
1715,Ростов-на-Дону,Белая Калитва,1.0
1716,Калининград,Калининград,1.0
1717,Омск,Омск,1.0
1718,Ижевск,Ижевск,1.0
1719,Омск,Омск,1.0
1720,Ростов-на-Дону,Ростов-на-Дону,2.0
1721,Омск,Омск,1.0
1722,Улан-Удэ,Улан-Удэ,1.0
1723,Владивосток,Владивосток,1.0
1724,Омск,Омск,1.0
1725,Краснодар,Темрюк,0.68
1726,Саратов,Саратов,1.0
1727,Ростов-на-Дону,Новошахтинск,1.0
1728,Ростов-на-Дону,Ростов-на-Дону,1.0
1729,Тюмень,Тюмень,1.0
1730,Ростов-на-Дону,Ростов-на-Дону,1.0
1731,Сочи,Сочи,1.0
1732,Ростов-на-Дону,Ростов-на-Дону,1.0
1733,Казань,Казань,1.0
1734,Магадан,Магадан,1.0
1735,Ростов-на-Дону,Ростов-на-Дону,1.0
1736,Сочи,Верхнебаканский,1.0
1737,Ростов-на-Дону,Ростов-на-Дону,1.0
1738,Ростов-на-Дону,Ростов-на-Дону,1.0
1739,Омск,Калачинск,1.0
1740,Новосибирск,Новосибирск,1.0
1741,Пятигорск,Незлобная,1.0
1742,Краснодар,Темрюк,1.0
1743,Самара,Самара,1.0
1744,Сочи,Сочи,1.0
1745,Сочи,"Весёлое, Сочи гор.округ",1.0
1746,Дзержинск,Юбилейный мкр. (Королёв),0.5
1747,Москва,Москва,0.1
1748,Магас,Москва,5.0
1749,Ростов-на-Дону,Челябинск,0.64
1750,Санкт-Петербург,Анапа,0.5
1751,Котельники,Лобня,1.0
1752,Москва,Белоозерский,0.1
1753,Дзержинский,Волгодонск,2.0
1754,Москва,Курск,2.0
1755,Москва,Москва,0.55
1756,Тосно,Актау,0.8
1757,Дзержинский,Ульяновск,2.0
1758,Казань,Рыбное,2.5
1759,Санкт-Петербург,Москва,0.3
1760,Москва,Дзержинский,0.1
1761,Бутово,Екатеринбург,0.2
1762,Санкт-Петербург,Электроугли,0.1
1763,Дзержинский,Великий Новгород,2.0
1764,Москва,"Смольки, Городецкий р-н",1.0
1765,Дзержинск,Астрахань,0.2
1766,Дзержинский,Новосибирск,2.0
1767,Котельники,"Менделеево, Солнечногорский р-он",1.0
1768,Красногорск,Казань,0.98
1769,Дзержинский,Ижевск,2.0
1770,Казань,Астрахань,3.9
1771,Нижний Новгород,Уфа,1.0
1772,Москва,Нефтеюганск,1.0
1773,Москва,Вологда,5.0
1774,Бутово,Муром,0.765
1775,Самара,Липецк,3.0
1776,Москва,Стерлитамак,0.4
1777,Санкт-Петербург,Митино,0.25
1778,Котельники,Сочи,1.0
1779,Воронеж,Пущино,3.32
1780,Магас,Апрелевка,2.0
1781,Санкт-Петербург,Москва,0.1
1782,Казань,Салават,3.7
1783,Москва,Казань,0.1
1784,Волгоград,Краснодар,1.0
1785,Санкт-Петербург,Новосибирск,0.1
1786,Москва,Екатеринбург,1.44
1787,Самара,Волжский,2.0
1788,Санкт-Петербург,Волгоград,0.4
1789,Санкт-Петербург,Краснодар,0.3
1790,Красногорск,Челябинск,0.5
1791,Москва,Москва,0.1
1792,Пушкино,Нижний Новгород,0.3
1793,Волгоград,Химки Новые,1.0
1794,Казань,Москва,2.5
1795,Екатеринбург,Белгород,2.0
1796,Санкт-Петербург,Сочи,0.1
1797,Москва,Мисайлово,0.5
1798,Красногорск,Ялта,0.5
1799,Островцы,Нефтекамск,0.1
1800,Санкт-Петербург,Москва,0.5
1801,Санкт-Петербург,Москва,0.2
1802,Нижний Новгород,Псков,3.0
1803,Москва,Уфа,7.34
1804,Москва,Улан-Удэ,1.0
1805,Красногорск,Тюмень,0.5
1806,Екатеринбург,Смоленск,1.0
1807,Москва,Щекино,0.5
1808,Москва,Красноярск,0.1
1809,"Брест, Брестская обл.",Королев,3.6
1810,Тюмень,Краснодар,1.6
1811,Волгоград,Ростов-на-Дону,1.0
1812,Островцы,Москва,0.1
1813,Москва,Прохладный,0.4
1814,Саранск,Санкт-Петербург,0.55
1815,Сочи,Минск,10.0
1816,Екатеринбург,Горно-Алтайск,2.0
1817,Кореновск,Москва,0.5
1818,Москва,Рязань,1.62
1819,Москва,Ростов,0.5
1820,Санкт-Петербург,Санкт-Петербург,0.5
1821,Воронеж,Мытищи,0.147
1822,Волгоград,Краснодар,1.0
1823,Москва,Санкт-Петербург,0.2
1824,Москва,Казань,3.48
1825,Красногорск,Тверь,0.5
1826,Москва,Зеленоград,2.0
1827,Москва,Чита,0.5
1828,Екатеринбург,Алматы,2.0
1829,Пушкино,Москва,0.3
1830,Москва,Сочи,0.1
1831,"Брест, Брестская обл.",Уфа,3.5
1832,Москва,Орехово-Зуево,0.1
1833,Красногорск,Пермь,0.5
1834,Санкт-Петербург,Санкт-Петербург,0.5
1835,Москва,Воронеж,1.68
1836,Казань,Бишкек,1.3
1837,Магас,Домодедово,2.0
1838,Пушкино,Москва,0.3
1839,Щербинка,Бутово,0.2
1840,Саратов,Москва,0.57
1841,Санкт-Петербург,Ростов-на-Дону,0.5
1842,Нижний Новгород,Белгород,2.48
1843,Красногорск,Иркутск,0.5
1844,Санкт-Петербург,Казань,0.1
1845,Реутов,Мытищи,0.6
1846,Красногорск,Самара,0.5
1847,Саратов,Махачкала,0.3
1848,Пушкино,Тула,0.3
1849,Санкт-Петербург,Великие Луки,3.0
1850,Москва,Салават,0.1
1851,Санкт-Петербург,Краснодар,0.3
1852,Челябинск,Серов,0.75
1853,Зеленоград,Костанай,2.0
1854,Москва,Санкт-Петербург,0.1
1855,Сочи,Минск,10.0
1856,Санкт-Петербург,Санкт-Петербург,0.2
1857,Ульяновск,Таганрог,0.1
1858,Саратов,Челябинск,0.52
1859,Москва,Москва,2.0
1860,Москва,Казань,0.1
1861,Санкт-Петербург,Липецк,0.3
1862,Москва,Крымск,0.03
1863,Москва,Череповец,0.212
1864,Москва,Горячий Ключ,0.112
1865,Москва,Новосибирск,0.26
1866,Москва,Дербент,0.156
1867,Москва,Люберцы,0.339
1868,Москва,Кемерово,0.057
1869,Москва,Калининград,0.028
1870,Москва,Владивосток,0.066
1871,Москва,Москва,0.086
1872,Москва,Тюмень,0.389
1873,Москва,Санкт-Петербург,0.033
1874,Москва,Орел,0.038
1875,Москва,Красногорск,0.037
1876,Москва,Москва,0.017
1877,Москва,Мытищи,0.037
1878,Москва,Подольск,0.144
1879,Москва,Санкт-Петербург,0.043
1880,Москва,Волгоград,0.021
1881,Москва,Мурманск,0.088
1882,Москва,Реутов,0.218
1883,Москва,Красноярск,0.924
1884,Москва,Екатеринбург,0.099
1885,Москва,Москва,0.161
1886,Москва,Санкт-Петербург,0.037
1887,Москва,Бийск,0.033
1888,Москва,Дубна,1.023
1889,Москва,Кольчугино,0.041
1890,Москва,Москва,0.519
1891,Москва,Красноярск,0.623
1892,Москва,Омск,0.111
1893,Москва,Реутов,0.391
1894,Москва,Стерлитамак,0.558
1895,Москва,Волгоград,0.783
1896,Москва,Барнаул,0.026
1897,Москва,Москва,0.336
1898,Иваново ,Воскресенск,0.6
1899,Москва,Омск,0.1
1900,Москва,Омск,0.113
1901,Москва,Дивногорск,0.788
1902,Москва,Киров,0.121
1903,Москва,Уфа,0.186
1904,Москва,Набережные Челны,0.271
1905,Москва,Кемерово,0.161
1906,Москва,Жигулёвск,0.878
1907,Москва,Барнаул,0.534
1908,Москва,Барнаул,1.218
1909,Москва,Самара,0.119
1910,Москва,Тверь,0.494
1911,Москва,Казань,0.746
1912,Москва,Волгоград,0.129
1913,Москва,Балаково,0.362
1914,Северодвинск,Ярославль,2.0
1915,Москва,Омск,0.383
1916,Москва,Тверь,0.471
1917,Москва,Казань,0.095
1918,Москва,Самара,0.7
1919,Москва,Барнаул,1.772
1920,Москва,Волгоград,0.315
1921,Москва,Нижний Новгород,0.68
1922,Кстово,Ковров,11.819
1923,Москва,Омск,0.59
1924,Москва,Москва,1.105
1925,Москва,Санкт-Петербург,1.445
1926,Москва,Красноярск,0.076
1927,Москва,Москва,3.033
1928,Красногорск,Иркутск,0.5
1929,"Румянцево, Московский пос.",Челябинск,0.1
1930,Москва,Казань,0.467
1931,Москва,Санкт-Петербург,0.184
1932,Москва,Волгоград,0.372
1933,Москва,Калининград,0.556
1934,Москва,Москва,0.303
1935,Москва,Казань,0.143
1936,Москва,Красноярск,0.039
1937,Москва,Москва,0.454
1938,Москва,Руза,0.11
1939,Москва,Брянск,0.084
1940,Москва,Брянск,0.084
1941,Москва,Братск,0.046
1942,Москва,Екатеринбург,0.288
1943,Москва,Москва,0.053
1944,Москва,Кемерово,0.102
1945,Москва,Барнаул,0.008
1946,Москва,Казань,2.22
1947,Москва,Ульяновск,0.253
1948,Москва,Москва,0.094
1949,Москва,Москва,0.438
1950,Москва,Владимир,0.232
1951,Москва,Туапсе,0.125
1952,Москва,Воронеж,0.048
1953,Москва,Якутск,0.054
1954,Москва,Кемерово,0.283
1955,Москва,Анапская,0.081
1956,Москва,Челябинск,0.02
1957,Москва,Барнаул,0.263
1958,Москва,Воронеж,0.081
1959,Москва,Видное,0.113
1960,Москва,Краснодар,0.708
1961,Москва,Санкт-Петербург,0.104
1962,Москва,Барнаул,0.036
1963,Москва,Знамя Октября,0.589
1964,Москва,Санкт-Петербург,0.073
1965,Москва,Избербаш,0.083
1966,Москва,Москва,0.047
1967,Москва,Иваново ,0.038
1968,Москва,Рубцовск,0.187
1969,Москва,Москва,0.025
1970,Москва,Санкт-Петербург,0.158
1971,Москва,Одинцово,0.595
1972,Москва,Кемерово,0.176
1973,Москва,Ростов-на-Дону,2.04
1974,Москва,Санкт-Петербург,0.197
1975,Москва,Северобайкальск,0.026
1976,Москва,Москва,0.131
1977,Москва,Москва,0.023
1978,Москва,Москва,0.552
1979,Москва,Москва,0.017
1980,Москва,Москва,0.063
1981,Москва,"Ильский, Северский р-н",0.187
1982,Москва,Норильск,0.077
1983,Москва,Томск,0.132
1984,Москва,Барнаул,0.032
1985,Москва,Десёновское,0.036
1986,Москва,Новосибирск,0.35
1987,Москва,Санкт-Петербург,0.065
1988,Москва,Сочи,0.065
1989,Москва,Новороссийск,0.211
1990,Москва,Красный Сулин,0.05
1991,Москва,Красногорск,0.271
1992,Москва,Калининград,0.033
1993,Москва,Новосибирск,0.676
1994,Москва,Москва,0.297
1995,Москва,Санкт-Петербург,0.045
1996,Москва,Волгоград,0.096
1997,Москва,Владимир,0.093
1998,Москва,Уфа,0.041
1999,Москва,Санкт-Петербург,0.072
2000,Москва,Москва,0.058
2001,Москва,Санкт-Петербург,0.01
2002,Москва,Омск,0.138
2003,Москва,Барнаул,0.579
2004,Москва,Санкт-Петербург,0.037
2005,Москва,Челябинск,0.068
2006,Москва,Санкт-Петербург,0.023
2007,Москва,Калининград,0.022
2008,Москва,Калининград,0.094
2009,Москва,Всеволожск,0.274
2010,Москва,Ижевск,0.551
2011,Москва,Ярославль,0.326
2012,Москва,"Железнодорожный, Балашиха",0.12
2013,Москва,Москва,0.021
2014,Москва,Казань,0.216
2015,Москва,Махачкала,0.049
2016,Москва,Екатеринбург,0.013
2017,Москва,Санкт-Петербург,0.039
2018,Москва,Оренбург,0.052
2019,Москва,Санкт-Петербург,1.081
2020,Москва,Санкт-Петербург,0.166
2021,Москва,Екатеринбург,0.036
2022,Москва,Брянск,1.351
2023,Москва,Ачинск,0.211
2024,Москва,Новосибирск,0.465
2025,Москва,Московский,0.025
2026,Москва,Новокузнецк,0.051
2027,Москва,Москва,0.041
2028,Москва,Санкт-Петербург,0.055
2029,Москва,Балашиха,0.194
2030,Москва,Темрюк,0.037
2031,Москва,Дубна,0.021
2032,Москва,Красноярск,0.068
2033,Москва,Москва,0.089
2034,Москва,Санкт-Петербург,0.048
2035,Москва,Санкт-Петербург,0.037
2036,Москва,Москва,0.03
2037,Москва,Иваново ,0.085
2038,Москва,Балашиха,0.067
2039,Москва,Челябинск,0.181
2040,Москва,Кемерово,0.059
2041,Москва,Москва,0.089
2042,Москва,Санкт-Петербург,1.212
2043,Москва,Вилючинск,0.036
2044,Москва,Москва,0.088
2045,Москва,Междуреченск,0.052
2046,Москва,Магадан,0.134
2047,Москва,Санкт-Петербург,0.308
2048,Москва,Биробиджан,0.056
2049,Москва,Уфа,0.027
2050,Москва,Санкт-Петербург,0.167
2051,Москва,Санкт-Петербург,0.163
2052,Москва,Новосибирск,0.024
2053,Москва,Санкт-Петербург,0.206
2054,Москва,Заринск,0.124
2055,Москва,Калининград,0.248
2056,Москва,Грозный,0.067
2057,Москва,Москва,0.319
2058,Москва,Санкт-Петербург,0.874
2059,Москва,Саратов,0.536
2060,Реутов,Сланцы,0.6
2061,Москва,Лосино-Петровский,0.428
2062,Москва,Омск,0.436
2063,Москва,Москва,0.074
2064,Москва,Санкт-Петербург,0.478
2065,Москва,Челябинск,1.196
2066,Москва,"Горбунки, Ломоносовский р-н",1.871
2067,Москва,Санкт-Петербург,0.136
2068,Москва,Красноярск,1.534
2069,Москва,Митино,0.039
2070,Москва,Кокошкино,0.163
2071,Москва,Норильск,0.211
2072,Москва,Астрахань,0.028
2073,Москва,Новокузнецк,0.129
2074,Москва,Красноярск,0.079
2075,Москва,"Железнодорожный, Балашиха",0.021
2076,Москва,Казань,0.117
2077,Москва,Омск,0.23
2078,Москва,Санкт-Петербург,0.979
2079,Москва,Санкт-Петербург,0.231
2080,Москва,Горячий Ключ,0.053
2081,Москва,Чита,0.138
2082,Москва,Новосибирск,1.518
2083,Москва,Санкт-Петербург,0.01
2084,Москва,Кокошкино,0.025
2085,Москва,Кемерово,0.364
2086,Москва,Санкт-Петербург,0.053
2087,Москва,Москва,0.041
2088,Москва,Красноярск,0.04
2089,Нижний Новгород,Михайловка,0.5
2090,Москва,Новокузнецк,0.028
2091,Москва,Екатеринбург,0.174
2092,Москва,Красноярск,0.036
2093,Москва,Краснодар,0.046
2094,Москва,Москва,0.304
2095,Москва,Ачинск,0.051
2096,Москва,Пермь,0.352
2097,Москва,Тверь,0.055
2098,Москва,Иркутск,0.057
2099,Москва,Санкт-Петербург,0.356
2100,Москва,Кемерово,0.156
2101,Москва,Санкт-Петербург,0.293
2102,Москва,Иркутск,0.095
2103,Москва,Санкт-Петербург,0.814
2104,Москва,Санкт-Петербург,1.761
2105,Москва,Челябинск,0.225
2106,Москва,Екатеринбург,0.227
2107,Москва,Калуга ,0.274
2108,Москва,Москва,0.198
2109,Москва,"Железнодорожный, Балашиха",0.233
2110,Москва,Санкт-Петербург,0.274
2111,Москва,Владивосток,0.019
2112,Москва,Белгород,0.536
2113,Москва,Митино,0.281
2114,Москва,Сертолово,0.036
2115,Москва,Екатеринбург,0.558
2116,Москва,Владивосток,0.281
2117,Москва,Магадан,0.099
2118,Москва,Калининград,0.124
2119,Москва,Санкт-Петербург,0.207
2120,Москва,Краснодар,1.003
2121,Москва,Калининград,0.033
2122,Москва,Уфа,0.183
2123,Москва,Тула,0.456
2124,Москва,Сергиев Посад,0.421
2125,Москва,Санкт-Петербург,0.017
2126,Москва,Сертолово,0.058
2127,Москва,Краснодар,0.057
2128,Москва,Красноярск,0.307
2129,Москва,Калининград,1.124
2130,Москва,Москва,0.024
2131,Москва,Челябинск,0.554
2132,Москва,Дмитров,0.791
2133,Москва,Санкт-Петербург,1.338
2134,Москва,Санкт-Петербург,0.047
2135,Москва,Коммунарка,1.174
2136,Москва,Казань,0.015
2137,Москва,Санкт-Петербург,1.157
2138,Москва,Калининград,0.079
2139,Москва,Москва,0.197
2140,Москва,Митино,0.088
2141,Москва,Санкт-Петербург,0.406
2142,Москва,Москва,0.135
2143,Москва,Москва,0.05
2144,Москва,"Железнодорожный, Балашиха",0.109
2145,Москва,Петропавловск-Камчатский,0.324
2146,Москва,Калининград,0.064
2147,Москва,Химки,1.135
2148,Москва,Барнаул,0.322
2149,Москва,Москва,0.065
2150,Москва,Санкт-Петербург,0.919
2151,Москва,Калининград,0.114
2152,Москва,Москва,0.222
2153,Москва,Красногорск,0.184
2154,Москва,Ярославль,0.128
2155,Москва,Тюмень,0.197
2156,Москва,Санкт-Петербург,0.037
2157,Москва,Санкт-Петербург,1.039
2158,Москва,Московский,0.481
2159,Москва,Нижний Тагил,0.946
2160,Москва,"Горбунки, Ломоносовский р-н",1.626
2161,Москва,Хабаровск,0.072
2162,Москва,Белгород,0.066
2163,Москва,Новороссийск,0.051
2164,Москва,Москва,1.572
2165,Москва,Ярославль,0.081
2166,Москва,Москва,1.822
2167,Москва,Москва,0.308
2168,Москва,Сочи,0.138
2169,Москва,"Железнодорожный, Балашиха",0.146
2170,Москва,Ханты-Мансийск,1.471
2171,"Румянцево, Московский пос.",Серпухов,0.1
2172,Москва,Санкт-Петербург,1.738
2173,Москва,Калининград,0.079
2174,Москва,Белгород,0.31
2175,Москва,Москва,0.167
2176,Москва,Балашиха,1.442
2177,Москва,Москва,0.67
2178,Москва,Троицк,0.016
2179,Москва,Нижний Новгород,0.576
2180,Москва,Улан-Удэ,0.91
2181,Москва,Казань,0.294
2182,Москва,Вологда,0.304
2183,Москва,Пенза,1.111
2184,Москва,Волгоград,0.135
2185,Москва,Красноармейск,0.248
2186,Москва,Химки,0.27
2187,Москва,Владивосток,0.366
2188,Москва,Москва,2.828
2189,Москва,Санкт-Петербург,0.15
2190,Москва,Уфа,1.52
2191,Москва,Казань,0.116
2192,Москва,Сочи,0.742
2193,Москва,Тамбов,0.319
2194,Москва,Обнинск,2.88
2195,Москва,Москва,2.7
2196,Ростов-на-Дону,Ростов-на-Дону,1.505
2197,Москва,Москва,1.6
2198,Санкт-Петербург,Ижевск,0.5
2199,Москва,Калуга ,1.268
2200,Ижевск,Москва,1.0
2201,Москва,Петропавловск-Камчатский,1.854
2202,Москва,Челябинск,1.801
2203,Ижевск,Уфа,1.0
2204,Михайловка,Гонконг (Чхеклапкок),0.792
2205,Санкт-Петербург,Санкт-Петербург,0.5
2206,Москва,Волоколамск,0.195
2207,Москва,Екатеринбург,0.06
2208,Москва,Москва,0.232
2209,Москва,Курган,0.6
2210,Москва,Видное,0.075
2211,Ростов-на-Дону,Ростов-на-Дону,0.41
2212,Москва,Московский,0.09
2213,Ижевск,Москва,1.0
2214,Екатеринбург,Ростов-на-Дону,0.58
2215,Ижевск,Москва,1.0
2216,Москва,Сочи,0.05
2217,Москва,Севастополь,0.06
2218,Москва,Междуреченск,0.255
2219,Москва,Москва,0.6
2220,Москва,Ростов-на-Дону,0.5
2221,Москва,Орск,3.23
2222,Москва,Наро-Фоминск,7.0
2223,Москва,Владимир,0.147
2224,Москва,Тула,15.0
2225,Москва,Томск,0.8
2226,Нижнекамск,Ростов-на-Дону,0.55
2227,Москва,Новокузнецк,0.562
2228,Электросталь,Наро-Фоминск,0.3
2229,Москва,Москва,0.3
2230,Железногорск,Ростов-на-Дону,1.5
2231,Москва,Искитим,0.06
2232,Москва,Москва,0.05
2233,Москва,Балабаново,0.4
2234,Москва,Ростов-на-Дону,0.35
2235,Тольятти,Ростов-на-Дону,0.45
2236,Москва,"Семилуки, Семилукский р-н",0.275
2237,Москва,Юрга,0.8
2238,Москва,Ростов-на-Дону,0.52
2239,Москва,Зеленодольск,0.6
2240,Москва,Владивосток,0.06
2241,Таганрог,Ростов-на-Дону,0.82
2242,Москва,Москва,0.2
2243,Ростов-на-Дону,Ростов-на-Дону,0.56
2244,Москва,Чапаевск,0.6
2245,Москва,Москва,0.001
2246,Щелково,Ростов-на-Дону,0.9
2247,Москва,Екатеринбург,0.375
2248,Москва,Санкт-Петербург,0.4
2249,Щелково,Ростов-на-Дону,0.36
2250,Москва,Дзержинск,0.4
2251,Москва,Клин,0.001
2252,Щелково,Ростов-на-Дону,0.38
2253,Москва,Старый Оскол,1.1
2254,Москва,Колпино,1.204
2255,Москва,Иваново ,1.24
2256,Пермь,Ростов-на-Дону,0.83
2257,Москва,Москва,0.735
2258,Волгоград,Саратов,0.5
2259,Балашиха,Ростов-на-Дону,0.57
2260,Москва,Псков,0.001
2261,Москва,Москва,2.691
