,city_from,city_to,weight
374,Краснодар,Новомосковск,0.5
375,Москва,Санкт-Петербург,0.5
376,Мытищи,Санкт-Петербург,3.0
377,Москва,Сходня,0.1
378,Кудрово,Сергиев Посад,0.3
379,Санкт-Петербург,Воронеж,0.5
380,Казань,Снежногорск,0.1
381,Бутово,Ростов-на-Дону,0.5
382,Чебоксары,Уфа,1.0
383,Санкт-Петербург,Москва,2.0
384,Москва,Тула,0.4
385,Москва,Армавир,0.2
386,Москва,Ростов-на-Дону,1.32
387,Санкт-Петербург,Санкт-Петербург,0.1
388,Пермь,Санкт-Петербург,0.2
389,Москва,Сызрань,5.0
390,Санкт-Петербург,Москва,0.5
391,Сургут,Ноябрьск,0.1
392,Чебоксары,Ялта,0.32
393,Москва,Черкесск,0.1
394,Орел,"Железнодорожный, Балашиха",1.0
395,Москва,Москва,0.5
396,Бутово,Сочи,0.5
397,Чебоксары,Лебедянь,0.94
398,Москва,Воронеж,0.5
399,Москва,Дзержинский,0.5
400,Москва,Краснодар,0.5
401,Москва,Чайковский,0.5
402,Москва,Ростов-на-Дону,0.5
403,Москва,Псков,0.5
404,Москва,Ростов-на-Дону,0.5
405,Москва,Санкт-Петербург,0.5
406,Москва,Воронеж,0.5
407,Москва,Мичуринск,0.5
408,Реутов,Москва,0.1
409,Санкт-Петербург,Ижевск,0.5
410,Казань,Екатеринбург,0.1
411,Москва,Новокузнецк,0.5
412,Москва,Батайск,1.38
413,Москва,Самара,2.0
414,Москва,Мытищи,2.1
415,Пушкино,Москва,0.3
416,Чебоксары,Анапа,2.84
417,Санкт-Петербург,Нижний Новгород,0.1
418,Ярцево,Санкт-Петербург,0.5
419,Мытищи,Москва,3.42
420,Москва,Изобильный,5.0
421,Москва,Москва,0.5
422,Санкт-Петербург,Санкт-Петербург,1.0
423,Санкт-Петербург,Чайковский,1.0
424,Арзамас,Озерск,0.1
425,Санкт-Петербург,Геленджик,0.5
426,Санкт-Петербург,Москва,0.1
427,Санкт-Петербург,Пушкин,0.2
428,Североуральск,Ленинградская,2.45
429,Ростов-на-Дону,Пенза,0.1
430,Москва,Москва,0.1
431,Ставрополь,Краснодар,0.1
432,Санкт-Петербург,Санкт-Петербург,0.1
433,Сергиев Посад,Ивантеевка,2.0
434,Москва,Москва,0.4
435,Волжский,Челябинск,0.5
436,Москва,Армавир,0.45
437,Казань,Москва,0.1
438,Нижний Новгород,Волгоград,23.46
439,Ивантеевка,"Кучино, Балашиха",1.5
440,Ижевск,Тамбов,0.7
441,Москва,Дубна,1.0
442,Москва,Красное Село,0.45
443,Минск,Ярославль,0.6
444,Новотитаровская,Москва,3.0
445,Пушкин,Казань,0.05
446,Ижевск,Тамбов,0.7
447,Пушкино,Солнечногорск,0.3
448,Санкт-Петербург,Мурманск,2.1
449,Москва,Самара,1.9
450,Москва,Зеленоград,0.3
451,Москва,Махачкала,2.0
452,Ижевск,Йошкар-Ола,0.7
453,Санкт-Петербург,Санкт-Петербург,0.8
454,Ижевск,Ярославль,0.7
455,Москва,Нижний Новгород,0.08
456,Бутово,Воронеж,0.3
457,Дмитров,Зеленоград,0.5
458,Москва,Солнечногорск,2.0
459,Москва,Горелово,0.5
460,Москва,Анапа,1.0
461,Ижевск,Саранск,0.7
462,Тюмень,Самара,0.5
463,Ковров,Пушкино,0.5
464,Волжский,Набережные Челны,8.92
465,Москва,Санкт-Петербург,0.49
466,Москва,Севастополь,50.0
467,Арзамас,Москва,0.1
468,Москва,Лобня,3.64
469,"Железнодорожный, Балашиха",Минск,17.54
470,Серпухов,Павловская слобода,0.62
471,Москва,Анапа,1.0
472,Москва,Щербинка,0.3
473,Москва,Самара,4.6
474,Москва,Краснодар,0.7
475,Санкт-Петербург,Москва,0.1
476,Пушкино,Крыловская,0.3
477,Москва,Канск,0.5
478,Самара,Сочи,0.5
479,Владивосток,Находка,0.5
480,Тюмень,Самара,0.7
481,Тюмень,Челябинск,0.75
482,Москва,Санкт-Петербург,5.0
483,Ижевск,Волгоград,0.7
484,Подольск,Изобильный,2.0
485,Москва,Севастополь,50.0
486,Москва,Ухта,0.4
487,Саратов,Анапа,17.0
488,Краснодар,Екатеринбург,2.5
489,Армавир,Обнинск,3.7
490,Санкт-Петербург,Москва,5.0
491,Москва,Сергиев Посад,0.1
492,Санкт-Петербург,Нальчик,1.0
493,Ивантеевка,Санкт-Петербург,0.8
494,Санкт-Петербург,Курск,0.2
495,Волжский,Камышин,5.0
496,Пушкино,Оренбург,0.3
497,Санкт-Петербург,"Пинск, Брестская обл.",5.0
498,Ижевск,Самара,0.7
499,Санкт-Петербург,Одинцово,2.0
500,Москва,Казань,3.0
501,Москва,Воронеж,0.5
502,Владикавказ,Ставрополь,0.35
503,Пятигорск,Оренбург,6.0
504,Санкт-Петербург,Коммунарка,1.0
505,Подольск,Химки,2.0
506,Санкт-Петербург,Кострома,1.6
507,Москва,Москва,1.46
508,Москва,Санкт-Петербург,0.1
509,Коммунарка,Балашиха,4.3
510,Дзержинский,Красноярск,2.0
511,Санкт-Петербург,Ростов-на-Дону,0.1
512,Кириши,Санкт-Петербург,2.0
513,Коммунарка,Михайловск,4.85
514,Санкт-Петербург,Троицк,1.0
515,Москва,Стрежевой,0.3
516,Коммунарка,Севастополь,0.5
517,Москва,Воронеж,0.2
518,Новороссийск,Нижний Новгород,1.0
519,Муром,Евпатория,0.4
520,Москва,Тольятти,2.0
521,Санкт-Петербург,Иркутск,0.5
522,Челябинск,Хабаровск,2.0
523,Махачкала,Пыть-Ях,1.0
524,Минск,Каневская,0.12
525,Дзержинский,Нижний Новгород,2.0
526,Краснодар,Москва,0.5
527,Санкт-Петербург,Парголово,0.5
528,Волжский,Москва,1.0
529,Дзержинский,Луховицы,2.0
530,Москва,Саранск,0.5
531,Ижевск,Кстово,0.7
532,Подольск,Санкт-Петербург,6.0
533,Санкт-Петербург,Назрань,0.1
534,Дзержинский,Электросталь,2.0
535,Волгоград,Арзамас,0.2
536,Санкт-Петербург,Королев,2.3
537,Пушкино,Бишкек,0.3
538,Обнинск,Москва,1.0
539,Москва,Архангельск,0.5
540,Дзержинский,Екатеринбург,2.0
541,Москва,Москва,0.1
542,Москва,Москва,1.0
543,Киров,Одинцово,0.7
544,Новосибирск,Москва,1.0
545,Москва,Москва,0.3
546,Ижевск,Смоленск,0.7
547,Нерюнгри,Нижневартовск,1.2
548,Санкт-Петербург,Санкт-Петербург,0.2
549,Муром,Бахчисарай,2.2
550,Москва,Севастополь,7.5
551,Краснодар,Апрелевка,50.0
552,Дзержинский,"Цемдолина, гор. окр Новороссийск",2.0
553,Москва,Волгоград,1.26
554,Москва,Санкт-Петербург,4.14
555,Тула,Зарайск,28.0
556,Дзержинский,Белебей,2.0
557,Мытищи,Нижнекамск,0.14
558,Москва,Пушкин,0.5
559,"Аксай, Ростовская область",Мурманск,0.8
560,Барнаул,Москва,1.1
561,Нижний Новгород,Санкт-Петербург,0.1
562,Ижевск,Киров,0.7
563,Москва,Пенза,1.32
564,Краснодар,Апрелевка,50.0
565,Дзержинский,Пущино,2.0
566,Всеволожск,Казань,0.02
567,Красногорск,Махачкала,1.0
568,Калуга ,Ивантеевка,0.8
569,Киров,Старая Русса,0.7
570,Москва,Тихвин,0.1
571,Ивантеевка,Калуга ,0.5
572,Санкт-Петербург,Санкт-Петербург,0.1
573,Дзержинский,Красноярск,2.0
574,"Аксай, Ростовская область",Волжский,0.4
575,Санкт-Петербург,Петрозаводск,0.5
576,Дзержинский,Липецк,2.0
577,Саратов,Волгоград,4.0
578,Москва,Нижний Новгород,0.5
579,Дзержинский,Лазаревское,2.0
580,Севастополь,Минск,1.0
581,Дзержинский,Уфа,2.0
582,Санкт-Петербург,Санкт-Петербург,0.2
583,Москва,Нижний Новгород,0.5
584,Бронницы,Омск,0.3
585,Дзержинский,Новороссийск,2.0
586,Санкт-Петербург,Чудово,0.1
587,Волжский,Артемовский,23.0
588,Санкт-Петербург,Ярославль,1.0
589,Пушкино,Пенза,0.3
590,Волгоград,Тула,0.5
591,Москва,Новосибирск,1.0
592,Дзержинский,Серпухов,2.0
